SECT,CLASS,COUNTRY,YEARS,SCORES
ALLSEC,STRI,AUS,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1758677214384079, 0.1758677214384079, 0.17663127183914185, 0.1758677214384079, 0.16313011944293976, 0.1739790439605713, 0.18439064919948578, 0.18658611178398132, 0.16513071954250336, 0.15420611202716827, 0.16513071954250336]"
ALLSEC,STRI,AUT,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.20187656581401825, 0.20187656581401825, 0.20207391679286957, 0.20232439041137695, 0.20232439041137695, 0.20232439041137695, 0.21292147040367126, 0.21366780996322632, 0.21363216638565063, 0.21363216638565063, 0.21363216638565063]"
ALLSEC,STRI,BEL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.21881884336471558, 0.21881884336471558, 0.20118480920791626, 0.20118480920791626, 0.20118480920791626, 0.19795367121696472, 0.19622719287872314, 0.19655509293079376, 0.20245900750160217, 0.21586689352989197, 0.21552801132202148]"
ALLSEC,STRI,BRA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.2910446524620056, 0.2916505038738251, 0.30319744348526, 0.2743033766746521, 0.2686556279659271, 0.2650008499622345, 0.23777875304222107, 0.22448688745498657, 0.2202189862728119, 0.21861106157302856, 0.21864445507526398]"
ALLSEC,STRI,CAN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.20709189772605896, 0.20709189772605896, 0.20709189772605896, 0.20709189772605896, 0.20691458880901337, 0.2049289345741272, 0.2049289345741272, 0.2049289345741272, 0.2049289345741272, 0.20426681637763977, 0.20426681637763977]"
ALLSEC,STRI,CHE,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.20381003618240356, 0.20150865614414215, 0.20381003618240356, 0.20381003618240356, 0.20381003618240356, 0.20382042229175568, 0.19323156774044037, 0.200693279504776, 0.21120095252990723, 0.21120095252990723, 0.21128761768341064]"
ALLSEC,STRI,CHL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.13371074199676514, 0.13327142596244812, 0.13327142596244812, 0.1307830959558487, 0.13060806691646576, 0.13060806691646576, 0.13046450912952423, 0.13046450912952423, 0.15545350313186646, 0.15545350313186646, 0.15545350313186646]"
ALLSEC,STRI,CHN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.2868269085884094, 0.28555649518966675, 0.27624592185020447, 0.30147266387939453, 0.30666103959083557, 0.2913581430912018, 0.2899136543273926, 0.2769729793071747, 0.2765234708786011, 0.22515927255153656, 0.22515927255153656]"
ALLSEC,STRI,COL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.17646828293800354, 0.17646828293800354, 0.18031080067157745, 0.16924847662448883, 0.16924847662448883, 0.16924847662448883, 0.16578982770442963, 0.16578982770442963, 0.1922615021467209, 0.1922615021467209, 0.1922615021467209]"
ALLSEC,STRI,CRI,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1820756047964096, 0.18154706060886383, 0.18116308748722076, 0.17889653146266937, 0.17889653146266937, 0.17889653146266937, 0.1774972379207611, 0.17924493551254272, 0.16897767782211304, 0.1644618958234787, 0.1644618958234787]"
ALLSEC,STRI,CZE,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.11378931254148483, 0.11378931254148483, 0.12431081384420395, 0.1241251528263092, 0.1241251528263092, 0.12347207963466644, 0.12347207963466644, 0.12672877311706543, 0.13339535892009735, 0.13473795354366302, 0.13473795354366302]"
ALLSEC,STRI,DEU,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.13493117690086365, 0.13493117690086365, 0.13512864708900452, 0.13512864708900452, 0.13512864708900452, 0.14665469527244568, 0.14665469527244568, 0.1453223079442978, 0.15316149592399597, 0.15316149592399597, 0.15316149592399597]"
ALLSEC,STRI,DNK,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.13955748081207275, 0.14442861080169678, 0.14442861080169678, 0.14442861080169678, 0.15273228287696838, 0.1526266485452652, 0.1640656590461731, 0.16305704414844513, 0.15991142392158508, 0.15991142392158508, 0.15976166725158691]"
ALLSEC,STRI,ESP,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.13151434063911438, 0.13337257504463196, 0.13337257504463196, 0.13184961676597595, 0.13184961676597595, 0.13184961676597595, 0.14562374353408813, 0.14617383480072021, 0.14617383480072021, 0.12867987155914307, 0.12867987155914307]"
ALLSEC,STRI,EST,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1858547478914261, 0.1858547478914261, 0.19013206660747528, 0.19197671115398407, 0.17453569173812866, 0.17208801209926605, 0.17208801209926605, 0.17256547510623932, 0.16987961530685425, 0.1742456704378128, 0.1742456704378128]"
ALLSEC,STRI,FIN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1986721158027649, 0.19441474974155426, 0.19396087527275085, 0.19303201138973236, 0.18366436660289764, 0.18366436660289764, 0.19721153378486633, 0.19804251194000244, 0.2056402564048767, 0.2056402564048767, 0.2056402564048767]"
ALLSEC,STRI,FRA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.20260824263095856, 0.20616643130779266, 0.21510498225688934, 0.21510498225688934, 0.21510498225688934, 0.2067660093307495, 0.2067660093307495, 0.20723867416381836, 0.20723867416381836, 0.2094499170780182, 0.2094499170780182]"
ALLSEC,STRI,GBR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1298966258764267, 0.13379624485969543, 0.1339271515607834, 0.14230047166347504, 0.14230047166347504, 0.14230047166347504, 0.14278481900691986, 0.12410468608140945, 0.12410468608140945, 0.12324507534503937, 0.12324507534503937]"
ALLSEC,STRI,GRC,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.24234028160572052, 0.24962075054645538, 0.253583163022995, 0.2531220018863678, 0.24571959674358368, 0.2435729205608368, 0.2435729205608368, 0.24440069496631622, 0.2507522702217102, 0.24993380904197693, 0.23510843515396118]"
ALLSEC,STRI,HUN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.19755767285823822, 0.19951429963111877, 0.20836032927036285, 0.20836032927036285, 0.20841465890407562, 0.20995530486106873, 0.2190067321062088, 0.2190067321062088, 0.22704976797103882, 0.22704976797103882, 0.22704976797103882]"
ALLSEC,STRI,IDN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.4750731885433197, 0.47500336170196533, 0.45874422788619995, 0.4699098467826843, 0.4699990749359131, 0.4410874843597412, 0.44476544857025146, 0.35966894030570984, 0.3711799383163452, 0.37697431445121765, 0.37697431445121765]"
ALLSEC,STRI,IND,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.3025754392147064, 0.29118403792381287, 0.28955620527267456, 0.3191803991794586, 0.30631378293037415, 0.30923324823379517, 0.2948123812675476, 0.2936781048774719, 0.29317808151245117, 0.29317808151245117, 0.2898303270339966]"
ALLSEC,STRI,IRL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1400684118270874, 0.1400684118270874, 0.1401243954896927, 0.13940921425819397, 0.13787247240543365, 0.14149296283721924, 0.14149296283721924, 0.14186058938503265, 0.15095169842243195, 0.17541208863258362, 0.17541208863258362]"
ALLSEC,STRI,ISL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.35488855838775635, 0.35488855838775635, 0.35524460673332214, 0.34695494174957275, 0.34695494174957275, 0.3552611470222473, 0.35117945075035095, 0.3488859236240387, 0.3488859236240387, 0.3488859236240387, 0.3488859236240387]"
ALLSEC,STRI,ISR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.24006593227386475, 0.23780517280101776, 0.23704002797603607, 0.23583629727363586, 0.23323525488376617, 0.23323525488376617, 0.23938016593456268, 0.23938016593456268, 0.23938016593456268, 0.23936960101127625, 0.23936960101127625]"
ALLSEC,STRI,ITA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.22096209228038788, 0.22096209228038788, 0.221147358417511, 0.22348500788211823, 0.22348500788211823, 0.22725151479244232, 0.22725151479244232, 0.22900505363941193, 0.22931715846061707, 0.22931715846061707, 0.22931715846061707]"
ALLSEC,STRI,JPN,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.133168563246727, 0.11849860846996307, 0.11816168576478958, 0.11501572281122208, 0.11501572281122208, 0.11501572281122208, 0.16195404529571533, 0.15931221842765808, 0.11228586733341217, 0.11228586733341217, 0.11228586733341217]"
ALLSEC,STRI,KAZ,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.32257574796676636, 0.29833388328552246, 0.30610230565071106, 0.30900484323501587, 0.3086372911930084, 0.307412713766098, 0.34184783697128296, 0.34923404455184937, 0.3080063462257385, 0.3080882132053375, 0.3080994784832001]"
ALLSEC,STRI,KOR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.26138266921043396, 0.25873714685440063, 0.23601379990577698, 0.24018777906894684, 0.24018095433712006, 0.24018095433712006, 0.26062044501304626, 0.26062044501304626, 0.27348792552948, 0.22766026854515076, 0.22766026854515076]"
ALLSEC,STRI,LTU,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.13250818848609924, 0.1323004513978958, 0.1413872092962265, 0.14291733503341675, 0.15038126707077026, 0.15042521059513092, 0.15042521059513092, 0.1507105827331543, 0.1586097925901413, 0.15859384834766388, 0.15859384834766388]"
ALLSEC,STRI,LUX,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1674913614988327, 0.1674913614988327, 0.17262795567512512, 0.17262795567512512, 0.1743709295988083, 0.17394280433654785, 0.17394280433654785, 0.16015836596488953, 0.16641250252723694, 0.16641250252723694, 0.16641250252723694]"
ALLSEC,STRI,LVA,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1321151852607727, 0.1323254257440567, 0.1327114701271057, 0.13342343270778656, 0.13338296115398407, 0.13338296115398407, 0.13338296115398407, 0.13373152911663055, 0.14147448539733887, 0.14147448539733887, 0.14147448539733887]"
ALLSEC,STRI,MEX,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.22866196930408478, 0.22391951084136963, 0.22391951084136963, 0.233677476644516, 0.233677476644516, 0.23885811865329742, 0.2364947646856308, 0.2364947646856308, 0.2363349348306656, 0.23656664788722992, 0.23656664788722992]"
ALLSEC,STRI,MYS,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.3110276162624359, 0.3106379508972168, 0.3106379508972168, 0.3106379508972168, 0.30862775444984436, 0.30862775444984436, 0.2987886071205139, 0.2987886071205139, 0.29617419838905334, 0.2940162718296051, 0.2932532727718353]"
ALLSEC,STRI,NLD,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1337805539369583, 0.1337805539369583, 0.13398003578186035, 0.1318754106760025, 0.12934523820877075, 0.12934523820877075, 0.12934523820877075, 0.12934523820877075, 0.11996626853942871, 0.12395907193422318, 0.12395907193422318]"
ALLSEC,STRI,NOR,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.2167246788740158, 0.21680833399295807, 0.22463825345039368, 0.21629442274570465, 0.21598713099956512, 0.22860504686832428, 0.22860504686832428, 0.22819820046424866, 0.22987407445907593, 0.22617274522781372, 0.22617274522781372]"
ALLSEC,STRI,NZL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.1604069173336029, 0.17217540740966797, 0.1721039116382599, 0.16900309920310974, 0.16900309920310974, 0.16900309920310974, 0.2023470103740692, 0.2023470103740692, 0.168916255235672, 0.1802259385585785, 0.1802259385585785]"
ALLSEC,STRI,PER,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.17992712557315826, 0.17909568548202515, 0.17909568548202515, 0.17909568548202515, 0.1791483759880066, 0.17956678569316864, 0.17956678569316864, 0.18068768084049225, 0.18068768084049225, 0.18053603172302246, 0.18035390973091125]"
ALLSEC,STRI,PHL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.4835200011730194, 0.4793950319290161, 0.4749247431755066, 0.4749247431755066, 0.4739252030849457, 0.4606854319572449, 0.4606854319572449, 0.46046409010887146, 0.44828543066978455, 0.44828543066978455, 0.44828543066978455]"
ALLSEC,STRI,POL,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.17949794232845306, 0.17949794232845306, 0.1798686534166336, 0.1798686534166336, 0.19338290393352509, 0.20141100883483887, 0.21710093319416046, 0.2175200879573822, 0.22540542483329773, 0.22511394321918488, 0.22511394321918488]"
ALLSEC,STRI,PRT,"[2014, 2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]","[0.20198319852352142, 0.1972189098596573, 0.1972028762102127, 0.17680592834949493, 0.17645768821239471, 0.17127132415771484, 0.17127132415771484, 0.16840989887714386, 0.17616191506385803, 0.16545945405960083, 0.14854809641838074]"
